Id,Name,Type,Description,Price
1,Coffee - Frthy Coffee Crisp,Drinks,User-centric logistical algorithm,80.27
2,"Nut - Pistachio, Shelled",Components,Re-contextualized stable policy,291.29
3,"Wine - White, Gewurtzraminer",Drinks,Optional stable protocol,68.84
4,Sauce - Demi Glace,Drinks,Synergistic local initiative,20.98
5,Orange - Blood,Audio,Distributed motivating solution,242.25
6,Muffin Mix - Oatmeal,Audio,Public-key human-resource alliance,133.49
7,Lamb - Whole Head Off,Drinks,Triple-buffered zero administration structure,173.37
8,Transfer Sheets,Drinks,Synergistic tertiary matrices,309.03
9,Cheese - Parmesan Cubes,Drinks,Business-focused disintermediate concept,250.52
10,Pop Shoppe Cream Soda,Drinks,Customizable demand-driven leverage,112.04
11,Eggs - Extra Large,CD,Operative homogeneous hierarchy,260.88
12,Trueblue - Blueberry 12x473ml,Drinks,Open-architected cohesive hub,37.28
13,Rosemary - Fresh,Drinks,Switchable web-enabled portal,102.17
14,Flour - Strong,Drinks,Upgradable asynchronous internet solution,164.8
15,Tamarind Paste,Components,Virtual mobile groupware,285.07
16,Jam - Apricot,Drinks,Mandatory actuating structure,8.95
17,Dried Cranberries,Drinks,Cloned hybrid secured line,305.69
18,"Water, Tap",CD,Open-source disintermediate interface,145.66
19,Coffee - French Vanilla Frothy,Drinks,Optional background benchmark,94.01
20,Cookie Dough - Peanut Butter,Drinks,Synchronised leading edge intranet,134.48
21,Pickle - Dill,Components,Extended directional moratorium,242.47
22,Cheese - Bocconcini,Drinks,Networked attitude-oriented capacity,210.87
23,Tobasco Sauce,Drinks,Object-based well-modulated encoding,52.42
24,Soupcontfoam16oz 116con,CD,Multi-lateral systematic functionalities,201.52
25,Truffle Shells - White Chocolate,Components,Persevering context-sensitive framework,173.42
26,Squash - Acorn,Drinks,Distributed value-added structure,300.02
27,Shrimp - Tiger 21/25,Drinks,Seamless methodical workforce,298.79
28,Lamb Leg - Bone - In Nz,Drinks,Profit-focused web-enabled emulation,144.33
29,Chicken - Whole Fryers,Cables,Reverse-engineered value-added software,11.8
30,Chick Peas - Dried,Drinks,Versatile neutral function,207.06
31,Chicken Thigh - Bone Out,Drinks,Open-source bandwidth-monitored superstructure,265.17
32,Coriander - Ground,CD,Innovative multi-tasking forecast,315.06
33,"Wine - Cahors Ac 2000, Clos",Drinks,Automated stable forecast,164.09
34,Spring Roll Veg Mini,Drinks,Profound demand-driven groupware,92.63
35,Pasta - Ravioli,Components,Horizontal maximized capacity,307.41
36,Sauce Bbq Smokey,Drinks,Multi-lateral global focus group,20.73
37,Spring Roll Wrappers,Drinks,Proactive contextually-based pricing structure,16.37
38,"Beans - Black Bean, Dry",Audio,Secured bandwidth-monitored forecast,202.54
39,Gelatine Leaves - Bulk,CD,Versatile fault-tolerant contingency,183.36
40,Chinese Foods - Pepper Beef,Drinks,Integrated analyzing help-desk,147.49
41,Cabbage - Savoy,Drinks,Object-based asynchronous application,188.04
42,Pork - Shoulder,Drinks,Self-enabling transitional circuit,148.74
43,"Crab - Blue, Frozen",Drinks,Self-enabling leading edge website,280.13
44,Syrup - Kahlua Chocolate,Audio,Configurable composite open architecture,51.64
45,Beans - Wax,Drinks,Triple-buffered 3rd generation matrices,86.35
46,Paper Cocktail Umberlla 80 - 180,Audio,Customer-focused multimedia local area network,276.66
47,Yams,Audio,Automated multimedia complexity,155.65
48,Pork Casing,Drinks,Self-enabling secondary matrices,290.38
49,Bar Bran Honey Nut,Components,Down-sized even-keeled budgetary management,182.52
50,Cheese - St. Andre,Drinks,Implemented multi-tasking middleware,76.88
51,Sobe - Berry Energy,Drinks,Networked attitude-oriented protocol,259.57
52,Pork - Belly Fresh,Audio,Advanced fresh-thinking strategy,282.45
53,Wine - Chenin Blanc K.w.v.,Drinks,Proactive contextually-based concept,12.51
54,Assorted Desserts,CD,Organized contextually-based forecast,128.82
55,"Beef - Outside, Round",Drinks,Operative grid-enabled definition,295.73
56,Chocolate - Liqueur Cups With Foil,Laptops,Enterprise-wide bifurcated system engine,110.4
57,Shrimp - Black Tiger 16/20,Drinks,Enhanced directional standardization,94.94
58,"Juice - Clamato, 341 Ml",Drinks,Distributed coherent customer loyalty,269.17
59,Lemons,CD,Reactive motivating secured line,298.75
60,Tea - Camomele,CD,Focused responsive superstructure,297.87
61,Rabbit - Saddles,Drinks,Implemented eco-centric intranet,261.53
62,"Basil - Primerba, Paste",Audio,Focused 4th generation capability,42.31
63,Oil - Pumpkinseed,Components,De-engineered logistical approach,47.04
64,"Beef - Outside, Round",Audio,Configurable disintermediate open system,80.0
65,Flower - Carnations,Audio,Cross-group full-range support,17.69
66,Grouper - Fresh,E-Readers,Streamlined solution-oriented benchmark,45.25
67,"Hickory Smoke, Liquid",Audio,Progressive 24/7 time-frame,238.33
68,Coffee Guatemala Dark,Drinks,Synergistic 4th generation utilisation,11.7
69,Fudge - Cream Fudge,Drinks,Progressive empowering productivity,18.4
70,"Chicken - Base, Ultimate",Drinks,Implemented explicit interface,65.23
71,"Soup - Campbells, Beef Barley",Components,Balanced optimizing Graphic Interface,179.25
72,Vinegar - Champagne,Drinks,Sharable executive hardware,267.23
73,Napkin White - Starched,Audio,Realigned user-facing process improvement,59.85
74,Beef - Salted,Drinks,Open-architected interactive instruction set,167.51
75,Soup - Campbells Chicken,Audio,Reactive reciprocal moratorium,75.99
76,"Syrup - Monin, Swiss Choclate",Audio,Future-proofed exuding access,127.58
77,Banana - Green,Audio,Front-line local moratorium,245.45
78,"Peas - Pigeon, Dry",Drinks,Synergized 3rd generation moratorium,20.99
79,Pie Shells 10,Drinks,Synchronised demand-driven project,196.3
80,"Wine - White, Concha Y Toro",Laptops,Advanced systemic forecast,304.76
81,Vaccum Bag - 14x20,Drinks,Streamlined cohesive software,299.85
82,Bandage - Finger Cots,Drinks,User-centric discrete hardware,171.02
83,Table Cloth 53x53 White,Drinks,Organized bottom-line challenge,136.17
84,"Beef - Roasted, Cooked",Drinks,Digitized mission-critical neural-net,222.81
85,Goldschalger,Drinks,Programmable full-range database,4.71
86,Haggis,CD,Re-contextualized systemic budgetary management,259.29
87,"Clams - Littleneck, Whole",Drinks,Face to face well-modulated database,313.63
88,"Beef - Rib Roast, Capless",Drinks,Automated 5th generation secured line,3.61
89,Pea - Snow,Drinks,Team-oriented holistic software,202.06
90,Wine - Niagara Peninsula Vqa,CD,Enterprise-wide 3rd generation moratorium,246.76
91,Wine - Hardys Bankside Shiraz,Drinks,Ameliorated cohesive knowledge user,50.39
92,Food Colouring - Red,Drinks,Operative 6th generation matrix,260.6
93,Buffalo - Tenderloin,Drinks,Configurable interactive methodology,158.98
94,Coffee - Frthy Coffee Crisp,Components,Switchable 5th generation interface,300.16
95,"Bread - Multigrain, Loaf",Audio,Devolved coherent concept,171.55
96,"Lettuce - Mini Greens, Whole",Drinks,Mandatory user-facing structure,13.47
97,Red Currants,Laptops,Robust composite matrix,237.21
98,"Water, Tap",Audio,Multi-layered heuristic process improvement,60.74
99,"Nestea - Ice Tea, Diet",Drinks,Versatile systemic throughput,150.11
100,"Stock - Veal, White",Audio,Robust bottom-line core,246.31
101,"Tray - Foam, Square 4 - S",Audio,Open-architected contextually-based open system,16.12
102,Apricots Fresh,Drinks,Realigned motivating matrix,53.56
103,Squid - U - 10 Thailand,CD,Extended value-added protocol,229.42
104,Sour Puss Sour Apple,CD,Sharable homogeneous policy,84.57
105,Pastry - Chocolate Chip Muffin,Components,Down-sized didactic array,124.73
106,Wine - Hardys Bankside Shiraz,CD,Configurable 24 hour process improvement,215.2
107,Wine - Sicilia Igt Nero Avola,Drinks,Exclusive clear-thinking definition,87.2
108,Flour - All Purpose,CD,Object-based encompassing synergy,89.8
109,Tea - Lemon Scented,CD,Customizable discrete model,311.79
110,Eggwhite Frozen,Laptops,Enterprise-wide disintermediate capacity,319.56
111,Russian Prince,Drinks,Reduced heuristic task-force,163.31
112,Bread - Sour Batard,Drinks,Cloned scalable flexibility,23.8
